Planet;F;phi;c1;c2
2;4.8380;299.102;1;-1
2;0.1160;148.900;2;-1
2;5.5260;148.313;2;-2
2;2.4970;315.943;2;-3
2;0.6660;177.710;3;-3
2;1.5590;345.253;3;-4
2;1.0240;318.150;3;-5
2;0.2100;206.200;4;-4
2;0.1440;195.400;4;-5
2;0.1520;343.800;4;-6
2;0.1230;195.300;5;-7
2;0.1540;359.600;5;-8
4;0.2730;217.700;-1;1
4;2.0430;343.888;-2;2
4;1.7700;200.402;-2;1
4;0.1290;294.200;-3;3
4;0.4250;338.880;-3;2
4;0.5000;105.180;-4;3
4;0.5850;334.060;-4;2
4;0.2040;100.800;-5;3
4;0.1540;227.400;-6;4
4;0.1010;96.300;-6;3
4;0.1060;222.700;-7;4
5;0.1630;198.600;-1;2
5;7.2080;179.532;-1;1
5;2.6000;263.217;-1;0
5;2.7310;87.145;-2;2
5;1.6100;109.493;-2;1
5;0.1640;170.500;-3;3
5;0.5560;82.650;-3;2
5;0.2100;98.500;-3;1
6;0.4190;100.580;-1;1
6;0.3200;269.460;-1;0
6;0.1080;290.600;-2;2
6;0.1120;293.600;-2;1
