Datum;JD;l_SL;b_SL;d_SL;l_Jup;b_Jup;d_Jup;x;y;z
1994-Jun-25;2449529;223.6438;0.4458;5.395399;224.1431;1.0858;5.421015;-3.9042;-3.7236;0.0420
1994-Jun-26;2449530;223.7362;0.4625;5.395933;224.2195;1.0848;5.420841;-3.8986;-3.7303;0.0436
1994-Jun-27;2449531;223.8289;0.4796;5.396486;224.2960;1.0839;5.420666;-3.8929;-3.7370;0.0452
1994-Jun-28;2449532;223.9219;0.4971;5.397058;224.3725;1.0829;5.420491;-3.8873;-3.7437;0.0468
1994-Jun-29;2449533;224.0152;0.5149;5.397652;224.4489;1.0819;5.420315;-3.8816;-3.7504;0.0485
1994-Jun-30;2449534;224.1088;0.5333;5.398268;224.5254;1.0810;5.420139;-3.8759;-3.7572;0.0502
1994-Jul-01;2449535;224.2027;0.5521;5.398907;224.6019;1.0800;5.419962;-3.8702;-3.7639;0.0520
1994-Jul-02;2449536;224.2971;0.5714;5.399572;224.6783;1.0790;5.419786;-3.8644;-3.7708;0.0538
1994-Jul-03;2449537;224.3918;0.5913;5.400264;224.7548;1.0780;5.419610;-3.8587;-3.7776;0.0557
1994-Jul-04;2449538;224.4870;0.6117;5.400986;224.8313;1.0770;5.419432;-3.8529;-3.7845;0.0577
1994-Jul-05;2449539;224.5826;0.6329;5.401740;224.9078;1.0761;5.419255;-3.8471;-3.7914;0.0597
1994-Jul-06;2449540;224.6788;0.6549;5.402529;224.9843;1.0751;5.419076;-3.8413;-3.7984;0.0618
1994-Jul-07;2449541;224.7756;0.6776;5.403358;225.0608;1.0741;5.418897;-3.8354;-3.8055;0.0639
1994-Jul-08;2449542;224.8730;0.7014;5.404231;225.1373;1.0731;5.418717;-3.8295;-3.8126;0.0662
1994-Jul-09;2449543;224.9713;0.7263;5.405154;225.2139;1.0721;5.418537;-3.8236;-3.8198;0.0685
1994-Jul-10;2449544;225.0704;0.7524;5.406134;225.2904;1.0711;5.418357;-3.8177;-3.8271;0.0710
1994-Jul-11;2449545;225.1706;0.7802;5.407181;225.3669;1.0701;5.418176;-3.8117;-3.8345;0.0736
1994-Jul-12;2449546;225.2720;0.8099;5.408309;225.4434;1.0691;5.417995;-3.8057;-3.8420;0.0764
1994-Jul-13;2449547;225.3751;0.8420;5.409539;225.5200;1.0681;5.417813;-3.7996;-3.8497;0.0795
1994-Jul-14;2449548;225.4803;0.8776;5.410902;225.5965;1.0671;5.417631;-3.7934;-3.8576;0.0829
1994-Jul-15;2449549;225.5886;0.9183;5.412457;225.6731;1.0661;5.417448;-3.7872;-3.8658;0.0867
1994-Jul-16;2449550;225.7021;0.9684;5.414339;225.7496;1.0651;5.417265;-3.7808;-3.8746;0.0915
1994-Jul-17;2449551;225.8292;1.0624;5.417209;225.8261;1.0641;5.417083;-3.7741;-3.8849;0.1004
