Datum;Laenge;Breite;Abstand;Laenge;Breite;x;y;r
2018-Oct-03;355.8068;-3.3511;0.726828365;6.210000161;-0.058487729;0.723643272;-0.053054694;0.725585547
2019-Dec-26;355.1714;-3.357;0.726838956;6.198910339;-0.058590703;0.723016591;-0.061076864;0.725591741
2020-Jul-11;312.8493;-2.8227;0.728232594;5.460250348;-0.049265409;0.494649994;-0.533252284;0.727349033
2021-Feb-20;311.7449;-2.7858;0.728239951;5.440974931;-0.048621382;0.484300252;-0.542709822;0.727379327
2021-Oct-16;332.7975;-3.2964;0.727899866;5.808412117;-0.057533033;0.646320387;-0.332199211;0.726695506
2023-Aug-21;332.6298;-3.294;0.727893042;5.8054852;-0.057491146;0.645340806;-0.334087185;0.726690445
2024-Nov-06;322.4967;-3.0988;0.728116646;5.628629242;-0.054084263;0.576783636;-0.442634433;0.727051996
