COMMENT;CCSDS_OEM_VERS = 2.0
COMMENT;CREATION_DATE  = 2023-03-21T01:10:06.984
COMMENT;ORIGINATOR     = NASA/JSC/FOD/TOPO
COMMENT;META_START
COMMENT;OBJECT_NAME          = ISS
COMMENT;OBJECT_ID            = 1998-067-A
COMMENT;CENTER_NAME          = Earth
COMMENT;REF_FRAME            = EME2000
COMMENT;TIME_SYSTEM          = UTC
COMMENT;START_TIME           = 2023-03-20T12:00:00.000
COMMENT;USEABLE_START_TIME   = 2023-03-20T12:00:00.000
COMMENT;USEABLE_STOP_TIME    = 2023-04-04T12:00:00.000
COMMENT;STOP_TIME            = 2023-04-04T12:00:00.000
COMMENT;META_STOP
COMMENT;Source: This file was produced by the TOPO office within FOD at JSC.
COMMENT;Units are in kg and m^2
COMMENT;MASS=473832.00
COMMENT;DRAG_AREA=1421.50
COMMENT;DRAG_COEFF=2.25
COMMENT;SOLAR_RAD_AREA=0.00
COMMENT;SOLAR_RAD_COEFF=0.00
COMMENT;Orbits start at the ascending node epoch
COMMENT;ISS first asc. node: EPOCH = 2023-03-20T12:47:39.472 $ ORBIT = 2803 $ LAN(DEG) = 38.04199
COMMENT;ISS last asc. node : EPOCH = 2023-04-04T11:53:48.380 $ ORBIT = 3035 $ LAN(DEG) = -37.31100
COMMENT;Begin sequence of events
COMMENT;TRAJECTORY EVENT SUMMARY:
COMMENT;
COMMENT;|       EVENT        |       TIG        | ORB |   DV    |   HA    |   HP    |
COMMENT;|                    |       GMT        |     |   M/S   |   KM    |   KM    |
COMMENT;|                    |                  |     |  (F/S)  |  (NM)   |  (NM)   |
COMMENT;=============================================================================
COMMENT; 68S Undocking         087:09:57:30.000             0.0     426.2     408.6
COMMENT;                                                   (0.0)   (230.1)   (220.6)
COMMENT;
COMMENT; GMT 089 Cygnus Reb    089:16:48:00.000             0.7     425.6     408.7
COMMENT;                                                   (2.3)   (229.8)   (220.7)
COMMENT;
COMMENT;=============================================================================
COMMENT;
2023-03-20 12:00:00;-4804.680472139880;-4787.203226753670;418.697383172504;3.08466741803452;-3.63637959795974;-5.99889734723948
2023-03-20 12:04:00;-3898.483537589740;-5475.076517220230;-1018.764792017350;4.42055562685816;-2.06121271191215;-5.90657717046452
2023-03-20 12:08:00;-2708.736747509140;-5764.764111670420;-2381.949235311410;5.43323012081736;-0.33861880718360;-5.38394370369817
2023-03-20 12:12:00;-1322.289209537110;-5635.899646067480;-3571.726116539240;6.04994986386196;1.40538796281928;-4.47061313517205
2023-03-20 12:16:00;160.019238667634;-5098.602296013620;-4501.951796781760;6.22749425784363;3.04438682422207;-3.23439179381678
2023-03-20 12:20:00;1630.785787699920;-4192.451120097270;-5105.589294501330;5.95458228701314;4.46073541938817;-1.76563644244597
2023-03-20 12:24:00;2983.755368712390;-2983.396971394050;-5339.323695690330;5.25189122419025;5.55352123704897;-0.17048908675898
2023-03-20 12:28:00;4121.301494482570;-1558.934620898460;-5186.467568323440;4.17018396434352;6.24507814419474;1.43659254116190
2023-03-20 12:32:00;4961.239092299220;-21.905864702512;-4658.032542428490;2.78664131238481;6.48585998337699;2.94048187937883
2023-03-20 12:36:00;5442.594316044700;1516.684652123740;-3791.994642464060;1.19991422502555;6.25783554322135;4.23287763897646
2023-03-20 12:40:00;5530.020059189570;2945.472428477150;-2650.742043984560;-0.47627923039473;5.57612801617837;5.21984579904935
2023-03-20 12:44:00;5216.523921242120;4160.683309373950;-1316.796578760620;-2.12072332715733;4.48864986213677;5.82863017654550
2023-03-20 12:48:00;4524.234024552760;5073.735010082370;113.010868029092;-3.61349772791204;3.07338381601175;6.01358599779727
2023-03-20 12:52:00;3502.994922842760;5617.850297496090;1534.558547359670;-4.84503661479612;1.43297814991273;5.76005794749243
2023-03-20 12:56:00;2226.839564132620;5753.117132477700;2844.102018176830;-5.72466667374885;-0.31275523561029;5.08588448382389
2023-03-20 13:00:00;788.566295271287;5469.522055987280;3945.989186988290;-6.18768897395162;-2.03610478886801;4.04020716991316
2023-03-20 13:04:00;-707.121119195608;4787.684052320540;4759.746170139310;-6.20019084584950;-3.61112079608114;2.69956280175639
2023-03-20 13:08:00;-2151.328170626030;3757.276570475830;5225.984425366700;-5.76132333032515;-4.92312476172288;1.16194984521480
2023-03-20 13:12:00;-3438.918484957030;2453.322522221490;5310.670586456430;-4.90299349761394;-5.87677137445824;-0.46060473961051
2023-03-20 13:16:00;-4476.111244078390;970.731367642097;5007.559314321300;-3.68736967097231;-6.40264651236604;-2.04991724288689
2023-03-20 13:20:00;-5187.277003360790;-582.554973894897;4338.677044953370;-2.20267812979819;-6.46225105297247;-3.49000480491660
2023-03-20 13:24:00;-5520.482575158150;-2093.385114193540;3352.770200680050;-0.55697021887979;-6.05096036372001;-4.67553891492350
2023-03-20 13:28:00;-5451.347933112370;-3451.643367189120;2121.811296061880;1.12955616767060;-5.19861099567192;-5.51950158745477
2023-03-20 13:32:00;-4984.936483964930;-4558.360450719220;735.774730156135;2.73328038386002;-3.96773705404063;-5.95991192315677
2023-03-20 13:36:00;-4155.440822891800;-5333.076028017390;-704.019786467011;4.13667014050838;-2.44906368177584;-5.96483606162485
2023-03-20 13:40:00;-3023.611623693980;-5719.805455661950;-2092.470404585630;5.23737843639403;-0.75448110558939;-5.53489301550847
2023-03-20 13:44:00;-1672.136818145730;-5691.081096871740;-3328.528285916900;5.95607912840731;0.99183666639354;-4.70292834686509
2023-03-20 13:48:00;-199.398968616285;-5249.751747407850;-4322.608391938510;6.24202813514702;2.66302963897824;-3.53092375005224
