Datum;Laenge;Breite;Abstand;Laenge rad;Breite rad;x;y;r
2018-Oct-05;357.8648;-3.3606;0.704314203;6.245919037;-0.058653535;0.702614877;-0.026195964;0.703103047
2018-Oct-06;358.9396;-3.3625;0.692469003;6.264677836;-0.058686696;0.691158482;-0.012793057;0.691276869
2018-Oct-07;0.0525;-3.3632;0.68025824;0.000916298;-0.058698913;0.679086355;0.000622246;0.67908664
2018-Oct-08;1.2067;-3.3626;0.667673136;0.021060888;-0.058688441;0.666375805;0.014036542;0.666523622
2018-Oct-09;2.4059;-3.3606;0.654704573;0.041990876;-0.058653535;0.653002605;0.027436279;0.653578726
2018-Oct-10;3.6544;-3.3569;0.641342917;0.063781312;-0.058588958;0.638940644;0.040807824;0.640242474
2018-Oct-11;4.9568;-3.3514;0.627578042;0.08651248;-0.058492965;0.624161695;0.054132895;0.626504742
2018-Oct-12;6.3185;-3.3438;0.613399293;0.110278629;-0.05836032;0.608635225;0.067392877;0.612354993
2018-Oct-13;7.7457;-3.3337;0.598795468;0.135187968;-0.058184041;0.592328022;0.080567029;0.597782178
2018-Oct-14;9.2452;-3.321;0.583754825;0.16135918;-0.057962384;0.575204157;0.09362848;0.582774497
2018-Oct-15;10.8253;-3.3051;0.568265093;0.188937128;-0.057684877;0.557224101;0.10655121;0.567319891
2018-Oct-16;12.4953;-3.2856;0.552313524;0.218084126;-0.057344538;0.538344933;0.119301868;0.55140566
2018-Oct-17;14.2661;-3.2618;0.535886963;0.248990416;-0.05692915;0.518519743;0.131842351;0.535018812
2018-Oct-18;16.1506;-3.2331;0.518971982;0.281881146;-0.05642824;0.497696745;0.144129058;0.51814596
2018-Oct-19;18.1639;-3.1986;0.501555087;0.31701986;-0.055826101;0.475819499;0.156109356;0.500773728
2018-Oct-20;20.3242;-3.1572;0.483623046;0.354724208;-0.055103535;0.452825445;0.167722683;0.482888995
2018-Oct-21;22.6533;-3.1075;0.465163375;0.395374671;-0.054236107;0.428645885;0.178896087;0.464479391
2018-Oct-22;25.1776;-3.0479;0.446165089;0.439432018;-0.05319589;0.403205311;0.189541513;0.445533959
2018-Oct-23;27.9297;-2.9762;0.426619834;0.487465224;-0.051944489;0.37642001;0.199554028;0.426044404
2018-Oct-24;30.9496;-2.8896;0.406523599;0.540172422;-0.050433034;0.348199487;0.208802705;0.406006714
2018-Oct-25;34.2878;-2.7845;0.385879347;0.598435003;-0.048598693;0.318444139;0.217128519;0.385423746
2018-Oct-26;38.0081;-2.6563;0.364701037;0.663366487;-0.046361181;0.287047833;0.224331704;0.36430917
2018-Oct-27;42.1924;-2.4988;0.343019894;0.736396299;-0.043612287;0.253899621;0.230160757;0.342693729
2018-Oct-28;46.9466;-2.3036;0.320894248;0.819372743;-0.040205405;0.218890951;0.234293633;0.320634925
2018-Oct-29;52.41;-2.0598;0.298425119;0.914727061;-0.035950292;0.18192375;0.236318113;0.298232294
2018-Oct-30;58.7656;-1.7527;0.275781076;1.025653207;-0.030590386;0.142936745;0.235697138;0.275652052
